PeakID (cmd=annotatePeaks.pl /Volumes/Bioinfo_Ext/16185R/Analysis/Diffbind/practice.txt dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3L.21364580.21365820	chr3L	21364580	21365820	+	387.361207146543	-0.224821264597911	Intergenic	Intergenic	5021	NM_168900	318030	Dm.7466	NM_168900		CG32440	CG5051|Dmel\CG32440|bs36c07.y1	uncharacterized protein	protein-coding
2L.3825273.3825887	chr2L	3825273	3825887	+	386.899093083625	0.194867198501201	promoter-TSS (NM_057382)	promoter-TSS (NM_057382)	-95	NM_057382	33607	Dm.4659	NM_057382		slp1	CG16738|Dmel\CG16738|Dmslp1|FD6|FoxG|SLP|SLP1|Slp|Slp-1|Slp1|l(2)05965|sko1|slp|slp-1|slp-2	sloppy paired 1	protein-coding
3R.6785003.6785726	chr3R	6785003	6785726	+	386.846524657846	-2.46750152119542	Intergenic	Intergenic	-6412	NR_048335	12798042		NR_048335		CR43435	Dmel\CR43435	ncRNA	ncRNA
2L.2899410.2900912	chr2L	2899410	2900912	+	386.774007809163	0.246411175721852	intron (NM_001347818, intron 2 of 10)	intron (NM_001347818, intron 2 of 10)	9990	NM_001144303	33496	Dm.2778	NM_078740		lilli	154454_at|189Y|AFF4|BEST:GH09955|BcDNA:GM02019|CG8817|Dmel\CG8817|Lilli|S(ls)4|SS2-1|SY2-1|Su(Raf)2A|Su(Raf)2a|dAFF4|l(2)00632|l(2)23Cc|l(2)K00632|l(2)K07920|l(2)k07920|l(2)k16124	lilliputian	protein-coding
2R.6177463.6179504	chr2R	6177463	6179504	+	386.406790586058	0.437034416263571	Intergenic	Intergenic	-1243	NM_136363	35544	Dm.3903	NM_136363		CG8343	BEST:GH10831|Dmel\CG8343|GH10831|GH10831-Inc	CG8343	protein-coding
3L.12454524.12455867	chr3L	12454524	12455867	+	386.234075356507	0.0385756027384333	Intergenic	Intergenic	12826	NM_001014582	39419		NM_079318		eyg	BK27|Bk27|CG10488|Dmel\CG10488|EYG|Eyg|lun	eyegone	protein-coding
3L.10345041.10347764	chr3L	10345041	10347764	+	386.123142673874	-0.0219162667379591	intron (NR_133212, intron 1 of 2)	intron (NR_133212, intron 1 of 2)	13941	NR_133212	26067327		NR_133209		CR46006	CR44327|CR45244|Dmel\CR46006|Dmel_CR44327|Dmel_CR45244|pri-mir-276b_mir-276a	ncRNA	ncRNA
X.17645599.17648410	chrX	17645599	17648410	+	386.073948611539	-0.347757213169892	exon (NM_001272729, exon 5 of 16)	exon (NM_001272729, exon 5 of 16)	3896	NM_167572	32743	Dm.20384	NM_133003		RhoGAPp190	8267|BcDNA:GH17919|BcDNA:GM05133|CG32555|CG8240|CG8267|D-p190|DRhoGAP|Dmel\CG32555|RhoGAP|RhoGAP P190|RhoGAP-16B12|mdcds_56566|p190|p190 RhoGAP|p190-RhoGAP|p190RhoGAP	Rho GTPase activating protein p190	protein-coding
3R.8722513.8723946	chr3R	8722513	8723946	+	386.005859088379	0.104951106072179	promoter-TSS (NM_141564)	promoter-TSS (NM_141564)	55	NM_141564	41038	Dm.13673	NM_141564		nom	CG8145|Dmel\CG8145	numerous disordered muscles	protein-coding
2R.6107514.6109021	chr2R	6107514	6109021	+	385.975900679879	-0.763173583228632	intron (NM_165461, intron 3 of 6)	intron (NM_165461, intron 3 of 6)	-22642	NM_001273790	35539	Dm.7281	NM_136359		Ars2	CG7843|Dmel\CG7843|anon-WO0118547.166	Arsenic resistance protein 2	protein-coding
3L.19139947.19140852	chr3L	19139947	19140852	+	385.953767205528	0.129929831425481	TTS (NM_001275109)	TTS (NM_001275109)	-1424	NM_140836	40088	Dm.27176	NM_140836		CG14082	Dmel\CG14082	uncharacterized protein	protein-coding
X.19272616.19274160	chrX	19272616	19274160	+	385.901137447357	0.351637313634709	TTS (NM_001272775)	TTS (NM_001272775)	1777	NM_001272775	318079	Dm.17285	NM_167643		CG32537	CG8020|Dmel\CG32537	uncharacterized protein	protein-coding
X.2469552.2470849	chrX	2469552	2470849	+	385.352307649338	0.79527818429773	promoter-TSS (NM_001103398)	promoter-TSS (NM_001103398)	-157	NM_001103398	31229	Dm.40	NM_166940		boi	Boi|CG13756|CG32796|CG7894|CT23737|CT33235|Dmel\CG32796|EG:BACH59J11.2	brother of ihog	protein-coding
2L.12822500.12823183	chr2L	12822500	12823183	+	385.21094234088	-0.97754215906097	promoter-TSS (NM_001316391)	promoter-TSS (NM_001316391)	-54	NM_001316391	34688	Dm.414	NM_078835		kek1	BEST:GM02380|CG12283|CT18186|Dmel\CG12283|Dmkek1|GM02380|KEK1|Kek|Kek-1|Kek1|NB1|SD01674|kek|kek-1|kekon|l(2)01433|n(2)k07332|uns	kekkon-1	protein-coding
2L.2154133.2157368	chr2L	2154133	2157368	+	385.042736236864	-0.434486391251713	promoter-TSS (NM_134806)	promoter-TSS (NM_134806)	-3	NM_134806	33391	Dm.20733	NM_134806		CG15382	BcDNA:RE26473|Dmel\CG15382	uncharacterized protein	protein-coding
X.18253089.18254159	chrX	18253089	18254159	+	384.890137056091	0.600822191663877	Intergenic	Intergenic	4383	NR_123940	19836095		NR_123940		CR45613	Dmel\CR45613	ncRNA	ncRNA
3R.22792476.22794431	chr3R	22792476	22794431	+	384.833557301528	-0.36053707857875	3' UTR (NM_001104411, exon 7 of 7)	3' UTR (NM_001104411, exon 7 of 7)	-10838	NM_142844	42704	Dm.13734	NM_142844		CG7031	Dmel\CG7031	CG7031	protein-coding
2L.10727784.10729682	chr2L	10727784	10729682	+	384.733410815395	-0.646670910089509	promoter-TSS (NM_135599)	promoter-TSS (NM_135599)	-245	NM_135599	34477	Dm.21305	NM_135599		CG6443	Dmel\CG6443	CG6443	protein-coding
2R.5772107.5773821	chr2R	5772107	5773821	+	384.604792990289	-0.0441006613447061	TTS (NM_136340)	TTS (NM_136340)	7784	NR_048045	12798070		NR_048045		scaRNA:PsiU2-35.45	CR43594|Dmel\CR43594|pugU2-35/45|snoRNA:gp210-a	small Cajal body-specific RNA : PsiU2-35.45	ncRNA
3L.19482929.19484067	chr3L	19482929	19484067	+	384.202644550994	0.595926007348168	TTS (NM_140859)	TTS (NM_140859)	3000	NM_140859	40116	Dm.33995	NM_140859		brv1	CG9472|CT26822|Dmel\CG9472	brivido-1	protein-coding
3L.14208343.14210002	chr3L	14208343	14210002	+	384.101074465693	0.688600430439739	intron (NM_001259819, intron 2 of 8)	intron (NM_001259819, intron 2 of 8)	3740	NM_001259819	39572	Dm.33462	NM_001038917		nuf	CG32140|CG33991|CG7867|CIP-D2|Cy3-23|D2|Dmel\CG33991|EP3077|FIP3|NUF|Nuf|Nuf1|Nuf2p|anon-D2	nuclear fallout	protein-coding
X.18886446.18888866	chrX	18886446	18888866	+	384.038432065882	-1.15954526064224	TTS (NM_133110)	TTS (NM_133110)	3143	NM_133110	32885	Dm.7754	NM_133110		CG7332	Dmel\CG7332	CG7332	protein-coding
2R.21041320.21042384	chr2R	21041320	21042384	+	383.861111255521	-0.309674598314094	Intergenic	Intergenic	-11811	NR_124672	19835769		NR_124672		CR45148	Dmel\CR45148|lincRNA.368	ncRNA	ncRNA
3L.3261433.3263641	chr3L	3261433	3263641	+	383.777020519908	-0.0193992452921426	intron (NM_139539, intron 2 of 5)	intron (NM_139539, intron 2 of 5)	4382	NM_206264	38402	Dm.12875	NM_139539		ckd	BcDNA:RH52423|CG14959|CKD|Dmel\CG14959|EP(2)3139|EP(3)0714|EP3139|EP714	cracked	protein-coding
X.2617334.2617906	chrX	2617334	2617906	+	383.724262629166	0.638723785184284	TTS (NM_080315)	TTS (NM_080315)	2118	NM_001258575	31244	Dm.64	NM_080315		Tsp3A	BACR7C10.6|CG10742|Dm.Tsp3A|Dmel\CG10742|EG:BACR7C10.6|tsp3A	Tetraspanin 3A	protein-coding
3R.18546644.18547213	chr3R	18546644	18547213	+	383.578185052556	-2.63122951857786	Intergenic	Intergenic	-1342	NM_001275783	42226	Dm.4626	NM_079673		fru	BTB-VI|BtbVI|CG14307|CG14307/CG33541|CG7688|CG7689|CG7690|CT22773|Dmel\CG14307|Dmfru|FRU|FRU-PI|Fru|cg7688|cg7689|fruC|fty|ms(3)06411|sat	fruitless	protein-coding
3R.10205444.10207900	chr3R	10205444	10207900	+	383.555007835204	-0.337406953094505	intron (NM_169336, intron 1 of 4)	intron (NM_169336, intron 1 of 4)	6335	NM_169336	41248	Dm.2453	NM_169336		Timp	CG6281|DTIMP|Dmel\CG6281|Dtimp|TIMP|dTIMP|timp	Tissue inhibitor of metalloproteases	protein-coding
2R.9055946.9056744	chr2R	9055946	9056744	+	383.544061766833	-0.0962171155071138	intron (NM_001259285, intron 2 of 9)	intron (NM_001259285, intron 2 of 9)	3562	NM_136600	35911	Dm.16246	NM_136600		CG13743	Dmel\CG13743	uncharacterized protein	protein-coding
3L.15938371.15940288	chr3L	15938371	15940288	+	383.474953576764	-0.878337487494371	intron (NM_079373, intron 2 of 7)	intron (NM_079373, intron 2 of 7)	13664	NM_079373	39733	Dm.7805	NM_079373		Pka-C3	5-23|CG6117|DC2|Dmel\CG6117|Dpck|PKA|PKA C3|PKA-C-3|PKA-C3|Pk72A|Pk?5|pka-C3	Protein kinase, cAMP-dependent, catalytic subunit 3	protein-coding
3L.16309823.16311066	chr3L	16309823	16311066	+	383.32259230673	-0.138789457834339	non-coding (NR_048284, exon 2 of 2)	non-coding (NR_048284, exon 2 of 2)	1504	NR_048284	12797918		NR_048284		CR32160	BcDNA:RH34065|CG32160|Dmel\CR32160	ncRNA	ncRNA
3R.20027102.20028908	chr3R	20027102	20028908	+	383.217254034531	0.343453171235387	promoter-TSS (NM_142603)	promoter-TSS (NM_142603)	35	NM_142602	42390		NM_142602		CG4424	Dmel\CG4424	CG4424	protein-coding
3L.18304443.18304874	chr3L	18304443	18304874	+	382.919619380103	-4.23674099873624	promoter-TSS (NM_079413)	promoter-TSS (NM_079413)	-241	NM_079413	40014	Dm.2372	NM_079413		grim	BcDNA:RE28551|CG4345|Dmel\CG4345|GRIM|Grim|gri|grm	grim	protein-coding
3R.5820820.5822378	chr3R	5820820	5822378	+	382.796225647115	-0.339907096231411	promoter-TSS (NM_141337)	promoter-TSS (NM_141337)	-159	NM_141337	40723	Dm.31292	NM_141337		Hpr1	CG2031|Dmel\CG2031|HPR1	Hpr1	protein-coding
2L.14458099.14458943	chr2L	14458099	14458943	+	382.794981661135	-0.45432237378978	Intergenic	Intergenic	1408	NR_124256	19835600		NR_124256		CR44730	Dmel\CR44730|lincRNA.133	ncRNA	ncRNA
3L.19099586.19100576	chr3L	19099586	19100576	+	382.266065370875	0.487910113719721	exon (NM_140835, exon 1 of 2)	exon (NM_140835, exon 1 of 2)	274	NM_140835	40087	Dm.1995	NM_140835		Gem2	CG10419|Dmel\CG10419|dGem2	Gemin2	protein-coding
2R.7440414.7441301	chr2R	7440414	7441301	+	382.092937271643	0.442236835623451	exon (NM_136432, exon 1 of 2)	exon (NM_136432, exon 1 of 2)	151	NM_136432	35664	Dm.11790	NM_136432		CG11123	Dmel\CG11123	uncharacterized protein	protein-coding
3L.1626794.1627335	chr3L	1626794	1627335	+	381.406133930287	-3.20794516244595	3' UTR (NM_139378, exon 1 of 1)	3' UTR (NM_139378, exon 1 of 1)	1313	NM_139378	38195	Dm.33555	NM_139378		CG13928	Dmel\CG13928	uncharacterized protein	protein-coding
2L.10379635.10380712	chr2L	10379635	10380712	+	381.181624701056	0.839898584627695	promoter-TSS (NM_001273409)	promoter-TSS (NM_001273409)	70	NM_001273409	34409	Dm.21277	NM_135549		gny	CG5091|Dalg6|Dmel\CG5091|Gny[|alg6|dAlg6	garnysstan	protein-coding
2R.19564608.19566285	chr2R	19564608	19566285	+	381.1702330279	-0.367520848826041	intron (NM_001259496, intron 5 of 10)	intron (NM_001259496, intron 5 of 10)	721	NM_001259502	37254	Dm.7773	NM_057383		sm	BcDNA:GH10856|CG9218|Dmel\CG9218|l(2)05338|smo	smooth	protein-coding
3R.30765389.30765966	chr3R	30765389	30765966	+	381.126487226793	-2.74458874549592	promoter-TSS (NM_170522)	promoter-TSS (NM_170522)	-249	NM_170522	43650	Dm.4708	NM_057502		zfh1	CG1322|Dmel\CG1322|ZFH-1|ZFH1|Zfh-1|Zfh1|Zfh1a|l(3)00865|zfh-1|zfl-1|zhf1	Zn finger homeodomain 1	protein-coding
3L.3861980.3863293	chr3L	3861980	3863293	+	380.982480827738	-1.36704052853982	TTS (NM_168042)	TTS (NM_168042)	1788	NR_124775	19835071		NR_124775		CR45379	Dmel\CR45379	ncRNA	ncRNA
3R.12688555.12689871	chr3R	12688555	12689871	+	380.936181144597	-0.600822451729118	TTS (NM_080502)	TTS (NM_080502)	154	NM_001202284	45883	Dm.1469	NM_143768		kar	CG12286|Dmel\CG12286	karmoisin	protein-coding
3R.5112699.5113616	chr3R	5112699	5113616	+	380.725898990278	-2.92478848611121	Intergenic	Intergenic	-3979	NM_001259995	12798230	Dm.38892	NM_001259995		CG43131	Dmel\CG43131	uncharacterized protein	protein-coding
3R.27175346.27176325	chr3R	27175346	27176325	+	380.676248965573	-0.212659804954148	intron (NM_001300629, intron 12 of 14)	intron (NM_001300629, intron 12 of 14)	10119	NM_170321	318579	Dm.6085	NM_170321		spn-D	BcDNA:RE19845|CG31069|Dmel\CG31069|Spn-D|rad51C|spnD|spndD	spindle D	protein-coding
X.7072675.7074959	chrX	7072675	7074959	+	380.65619859603	0.677318729304948	TTS (NM_001031891)	TTS (NM_001031891)	3881	NM_167109	31653	Dm.12867	NM_132152		CG4607	Dmel\CG4607	CG4607	protein-coding
2L.16676727.16677807	chr2L	16676727	16677807	+	379.800435636828	0.272042187510885	promoter-TSS (NM_001144358)	promoter-TSS (NM_001144358)	82	NM_057224	34992	Dm.4142	NM_057224		her	CG4694|Dmel\CG4694|FBgn 1185|l(2)mat	hermaphrodite	protein-coding
2L.3572862.3574040	chr2L	3572862	3574040	+	379.644145574873	-0.667223803965451	Intergenic	Intergenic	-1899	NR_073710	14462684		NR_073710		CR43822	Dmel\CR43822	ncRNA	ncRNA
3L.4366892.4367989	chr3L	4366892	4367989	+	379.436925160893	0.474857613531233	promoter-TSS (NM_139639)	promoter-TSS (NM_139639)	18	NM_139639	38538	Dm.27818	NM_139639		CG11342	Dmel\CG11342	uncharacterized protein	protein-coding
3R.22898536.22899388	chr3R	22898536	22899388	+	379.406114232067	-2.5293345706098	promoter-TSS (NM_079730)	promoter-TSS (NM_079730)	-322	NM_079730	42707	Dm.1287	NM_079730		klg	CG6669|CT20712|Dmel\CG6669|Klg|h214|l(3)rN712	klingon	protein-coding
3R.29907297.29908299	chr3R	29907297	29908299	+	379.165238201145	-0.506219979007437	promoter-TSS (NM_001144653)	promoter-TSS (NM_001144653)	-309	NM_170450	43539	Dm.16313	NM_170450		CG31036	CG15516|CG15518|Dmel\CG31036	uncharacterized protein	protein-coding
3R.6451371.6453840	chr3R	6451371	6453840	+	378.975635113304	-1.07316801549912	promoter-TSS (NR_144674)	promoter-TSS (NR_144674)	-996	NR_144674	30522423		NR_144674		mir-9375	CR46292|Dmel\CR46292	mir-9375 stem loop	ncRNA
X.18302373.18303340	chrX	18302373	18303340	+	378.922828255122	0.686752527396884	Intergenic	Intergenic	5403	NM_080356	32813		NM_080356		upd1	CG5993|Dmel\CG5993|OS|Os|UPD|Upd|Upd1|l(1)YC43|l(1)YM55|od|odsy|os|sis-C|sis-c|sisC|sy|unp|upa|upd	unpaired 1	protein-coding
2R.10224677.10225669	chr2R	10224677	10225669	+	378.756759861212	-0.741676117394376	intron (NM_001259307, intron 1 of 9)	GA-rich|Low_complexity|Low_complexity	2784	NM_001347804	30522410		NM_001347803		CG46321	Dmel\CG46321	uncharacterized protein	protein-coding
2L.6254514.6255898	chr2L	6254514	6255898	+	378.663045589251	-0.807392161499565	promoter-TSS (NM_135161)	promoter-TSS (NM_135161)	-653	NM_001298738	33874	Dm.34155	NM_135161		AANATL2	CG9486|Dmel\CG9486	Arylalkylamine N-acyltransferase-like 2	protein-coding
2R.24305518.24306340	chr2R	24305518	24306340	+	378.544645323543	-0.0987870039458633	promoter-TSS (NM_079118)	promoter-TSS (NM_079118)	48	NM_079118	37888	Dm.21376	NM_079118		betaTub60D	143391_i_at|3t|B3t|BETA 60D|CG3401|D.m.BETA-60D|DTB3|Dmbeta3|Dmel\CG3401|T|Tub|Tub2E|Tub60D|beta-Tub60D|beta-Tub6D|beta-tub|beta3|beta3 TU|beta3-Tub|beta3-tubulin|beta3TUB|beta3Tub|beta3t|beta3tub|beta60C|betaTub|betaTub3|betaTub60C|beta[[3]] tubulin|beta[[3]]-Tub|beta[[3]]-tubulin|betatub60D|p50|p50/tubulin|p53|p53/tubulin	beta-Tubulin at 60D	protein-coding
2R.24736503.24736903	chr2R	24736503	24736903	+	378.067982177137	-3.95925170805053	promoter-TSS (NM_001038883)	promoter-TSS (NM_001038883)	-46	NM_001274241	37953	Dm.14990	NM_001038883		Mid1	CG13595|CG13596|CG18510|CG33988|Dmel\CG33988|Nlf-1|cg13596	Mid1	protein-coding
2L.8316339.8318159	chr2L	8316339	8318159	+	378.035289582707	-0.211122594020491	TTS (NM_135363)	TTS (NM_135363)	2659	NM_135364	34141	Dm.19798	NM_135364		mtsh	CG7795|Dmel\CG7795	mitoshell	protein-coding
X.12938128.12938528	chrX	12938128	12938528	+	377.774552293322	-3.78780808669499	promoter-TSS (NM_001103495)	promoter-TSS (NM_001103495)	-189	NM_132614	32245	Dm.3314	NM_132614		fne	BEST:HL02010|BcDNA:HL02010|BcDNA:RE25290|CG4396|CR32646|Dmel\CG4396|Dmel_CR32646|FNE|Fne|MRE28|cg4396|lincRNA.985	found in neurons	protein-coding
3L.10246953.10247477	chr3L	10246953	10247477	+	377.67791735621	-4.13316379621432	TTS (NR_124848)	TTS (NR_124848)	425	NR_124847	19835961		NR_124847		CR44539	Dmel\CR44539	ncRNA	ncRNA
2L.3704992.3707241	chr2L	3704992	3707241	+	377.670170738921	-0.00886059323324083	promoter-TSS (NM_164549)	promoter-TSS (NM_164549)	-628	NM_164549	261616	Dm.19191	NM_164549		CG31778	BcDNA:HL03084|Dmel\CG31778	uncharacterized protein	protein-coding
3L.21584637.21585227	chr3L	21584637	21585227	+	377.589931488486	-1.08762499905116	Intergenic	Intergenic	-1896	NM_001275251	40398	Dm.3243	NM_141079		TfAP-2	AP-2|AP-2alpha|CG7807|DAP-2|Dmel\CG7807|dAP-2|dAP-2alpha|dTfap2|l(3)1215	Transcription factor AP-2	protein-coding
3R.9254015.9256241	chr3R	9254015	9256241	+	377.44340567838	-0.431639092880116	promoter-TSS (NM_141615)	promoter-TSS (NM_141615)	76	NM_141615	41100	Dm.27243	NM_141615		CG16734	Dmel\CG16734	uncharacterized protein	protein-coding
3R.16719638.16720415	chr3R	16719638	16720415	+	377.253461781236	0.516586023655583	intron (NM_169728, intron 1 of 2)	intron (NM_169728, intron 1 of 2)	14400	NM_169728	42034	Dm.21668	NM_080500		Ubx	BX-C|Bxl|CG10388|Cbx|DUbx|Dm Ubx|DmUbx|Dmel\CG10388|Hm|UBX|UBx|Uab|Ubx1b|abx|bx|bx[D]|bxd|bxd[D]|bxl|l(3)89Eb|pbx|ubx	Ultrabithorax	protein-coding
2L.16364961.16366347	chr2L	16364961	16366347	+	377.033553899324	0.6036559705206	promoter-TSS (NM_135949)	promoter-TSS (NM_135949)	-249	NM_001299051	34977		NM_135949		jhamt	BG:DS09218.5|CG17330|DmJHAMT|Dmel\CG17330|JAHMT|JHAMT|JHamt|Jhamt	juvenile hormone acid methyltransferase	protein-coding
3L.4556808.4557239	chr3L	4556808	4557239	+	377.009144972513	-4.00554312096363	promoter-TSS (NM_139660)	promoter-TSS (NM_139660)	-250	NM_139660	38562	Dm.2237	NM_139660		CG42540	CG13718|CG13719|CG32245|CG7468|Dmel\CG42540|Dmel_CG13719|Dmel_CG32245	uncharacterized protein	protein-coding
2L.8388024.8390397	chr2L	8388024	8390397	+	376.720057955852	-0.413643249972883	promoter-TSS (NR_001626)	promoter-TSS (NR_001626)	121	NM_001201799	10178852	Dm.38202	NM_001201799		CG42819	CG13394|Dmel\CG42819|Dmel_CG13394	uncharacterized protein	protein-coding
2L.9163994.9165001	chr2L	9163994	9165001	+	376.532688795827	-2.5868270630526	TTS (NM_001042884)	TTS (NM_001042884)	262	NM_135432	34240	Dm.30780	NM_135432		CG13108	Dmel\CG13108	uncharacterized protein	protein-coding
3R.22613034.22615281	chr3R	22613034	22615281	+	376.394533258208	-0.296556809633825	promoter-TSS (NM_142813)	promoter-TSS (NM_142813)	471	NM_170028	42670	Dm.21678	NM_170028		EF-G2	CG31159|CG6943|Dmel\CG31159|dEF-G2	Elongation Factor G2	protein-coding
2R.14207240.14208591	chr2R	14207240	14208591	+	376.322185250419	-0.779016487697274	intron (NM_079015, intron 1 of 2)	intron (NM_079015, intron 1 of 2)	4498	NM_079015	36575	Dm.2578	NM_079015		Sox15	CG13945|CG8404|DSox-15|Dmel\CG8404|Dsox-15|SOX15|SOX50E|SOXF|Sox F|Sox50E|SoxE|SoxF	Sox box protein 15	protein-coding
3R.25196727.25198209	chr3R	25196727	25198209	+	376.303064428125	-0.789096404112326	TTS (NM_143092)	TTS (NM_143092)	1941	NM_143091	43025	Dm.27402	NM_143091		CG13653	Dmel\CG13653	uncharacterized protein	protein-coding
3R.28301878.28303067	chr3R	28301878	28303067	+	376.067036408606	1.29639827018248	TTS (NR_133474)	TTS (NR_133474)	1099	NR_133474	26067420		NR_133474		CR46103	Dmel\CR46103	ncRNA	ncRNA
3L.10931066.10932147	chr3L	10931066	10932147	+	375.95633154431	-0.783195260475541	Intergenic	Intergenic	-27625	NR_124864	19834970		NR_124864		CR45248	Dmel\CR45248	ncRNA	ncRNA
2R.8739849.8741623	chr2R	8739849	8741623	+	375.923864038495	-0.292281357516144	intron (NM_165626, intron 1 of 7)	intron (NM_165626, intron 1 of 7)	3366	NM_001169620	8674036	Dm.37347	NM_001169620		CG42615	Dmel\CG42615|Dmel_CG11861|Dmel_CG31829|gft	uncharacterized protein	protein-coding
2L.9886108.9886569	chr2L	9886108	9886569	+	375.885166741423	-3.29947108210135	promoter-TSS (NM_001273373)	promoter-TSS (NM_001273373)	-88	NM_205952	34304	Dm.4086	NM_135472		nAChRalpha6	BcDNA:GH01410|CG4128|CT13662|Dalpha6|Dmel\CG4128|alpha6|das|nAChR|nAChR alpha 6|nAChR-alpha30D|nAChRAlpha-30D|nAChRalpha|nAChRalpha-30D|nAcRalpha-30D|rsn	nicotinic Acetylcholine Receptor alpha6	protein-coding
3R.10972107.10972470	chr3R	10972107	10972470	+	375.875706365823	-4.17842311130565	promoter-TSS (NM_001043240)	promoter-TSS (NM_001043240)	-93	NM_001043240	4379854		NM_001043240		CG34114	34114|CG14698|CG4695|Dmel\CG34114	uncharacterized protein	protein-coding
3R.21406610.21407385	chr3R	21406610	21407385	+	375.817870942728	0.219671633129528	promoter-TSS (NM_142713)	promoter-TSS (NM_142713)	-448	NM_142713	42540	Dm.27361	NM_142713		CheB93a	CG15503|Dmel\CG15503	Chemosensory protein B 93a	protein-coding
3R.13904656.13905764	chr3R	13904656	13905764	+	375.787216446251	0.381280714249207	TTS (NM_169560)	TTS (NM_169560)	3357	NM_169560	41697	Dm.1755	NM_169560		ems	CG2988|Dmel\CG2988|E4|EMS|Ems|W13|ant	empty spiracles	protein-coding
2R.6831333.6832248	chr2R	6831333	6832248	+	375.360054726597	-0.0746450846470085	promoter-TSS (NM_001103734)	promoter-TSS (NM_001103734)	3	NM_001103734	5740170	Dm.33261	NM_001103734		CG34215	Dmel\CG34215	uncharacterized protein	protein-coding
2R.22802684.22804583	chr2R	22802684	22804583	+	375.195842175957	-0.267242939210725	3' UTR (NM_166558, exon 4 of 4)	3' UTR (NM_166558, exon 4 of 4)	2670	NM_166558	37618	Dm.7295	NM_166555		CycB	2g|3510|CG3510|CYC-B|CYCB|Cyc B|Cycb|DmcycB|Dmel\CG3510|chr2R:18312808..18312907|cyc B|cyc-B|cycB|cycb|cyclin B|cyclinB|mAbF2F4	Cyclin B	protein-coding
2L.7495.9647	chr2L	7495	9647	+	375.090024455068	-0.242413524946576	exon (NM_001169365, exon 2 of 2)	exon (NM_001169365, exon 2 of 2)	1042	NM_001169365	33155	Dm.11978	NM_175941		CG11023	Dmel\CG11023	uncharacterized protein	protein-coding
2L.6773642.6774203	chr2L	6773642	6774203	+	374.857486292048	-1.58292105866945	promoter-TSS (NM_135229)	promoter-TSS (NM_135229)	-119	NM_135229	33951	Dm.5573	NM_135229		CG17378	Dmel\CG17378	uncharacterized protein	protein-coding
X.10009449.10011052	chrX	10009449	10011052	+	374.656238562772	0.0347348322255081	promoter-TSS (NM_001103463)	promoter-TSS (NM_001103463)	-231	NM_167214	31934	Dm.17561	NM_167214		CG2990	Dmel\CG2990	CG2990	protein-coding
X.8218996.8221238	chrX	8218996	8221238	+	374.619874489185	-0.470727929088406	intron (NM_132236, intron 2 of 11)	intron (NM_132236, intron 2 of 11)	3293	NM_001042798	44861	Dm.17605	NM_132235		sdt	BP1063|CG12657|CG12658|CG15339|CG15340|CG15341|CG15342|CG1617|CG32717|Dmel\CG32717|PALS1|Pals1|Sdt|Std|anon-EST:fe2E6|cGUK1|cMAGUK1|l(1)7Ef|pal1|std	stardust	protein-coding
3L.12187200.12189130	chr3L	12187200	12189130	+	374.290937174468	-0.380109716317358	promoter-TSS (NM_176322)	promoter-TSS (NM_176322)	-653	NM_001274820	39392	Dm.2828	NM_176322		Est-6	CG6917|Dmel\CG6917|EST-5|EST-6|EST6|Est|Est 6|Est-5|Est-5B|Est-D|Est6|est-6|est6	Esterase 6	protein-coding
2L.7409048.7410049	chr2L	7409048	7410049	+	374.169949350342	0.345934534815041	TTS (NM_001273262)	TTS (NM_001273262)	261	NM_135271	34018	Dm.12196	NM_135271		CG5181	CC24|Dmel\CG5181	CG5181	protein-coding
2R.16617393.16618337	chr2R	16617393	16618337	+	373.883355142594	-0.161547413665839	promoter-TSS (NM_001169697)	promoter-TSS (NM_001169697)	-171	NM_001169697	36860	Dm.18612	NM_137299		CG5065	Dmel\CG5065	CG5065	protein-coding
2R.14413697.14414507	chr2R	14413697	14414507	+	373.828192029846	0.00827397649525099	TTS (NM_137119)	TTS (NM_137119)	2277	NM_137119	36604	Dm.10957	NM_137119		Sin1	CG10105|Dmel\CG10105|dSin1|sin1	SAPK-interacting protein 1	protein-coding
2R.19283084.19284216	chr2R	19283084	19284216	+	373.763254346207	0.118861227202844	TTS (NM_137559)	TTS (NM_137559)	311	NM_137558	37209	Dm.697	NM_137558		CG11906	11906|Dmel\CG11906	uncharacterized protein	protein-coding
3L.4003156.4003937	chr3L	4003156	4003937	+	373.537907307263	0.903910659846801	promoter-TSS (NM_139589)	promoter-TSS (NM_139589)	72	NM_001259679	38470	Dm.15732	NM_139589		CG14985	Dmel\CG14985	uncharacterized protein	protein-coding
2R.7316567.7318232	chr2R	7316567	7318232	+	373.480024520673	0.0426978120478611	TTS (NM_001273835)	TTS (NM_001273835)	6004	NM_001299228	35651	Dm.503	NM_136424		CG12164	Dmel\CG12164	uncharacterized protein	protein-coding
3R.30458803.30459712	chr3R	30458803	30459712	+	373.110421952518	0.180929743156151	promoter-TSS (NM_170488)	promoter-TSS (NM_170488)	43	NM_001276179	43617	Dm.5535	NM_143539		CG2224	Amsh|Dmel\CG2224|Q9VA71	CG2224	protein-coding
